Sl No,Category,Type of Vehicle,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,Non-transport vehicles (private),Two Wheelers,5123057,5542012,6003597,6418232,6673856,6931839,7332587,7809958,8283952
2,Non-transport vehicles (private),Cars,1661276,1775462,1887649,1989509,2085384,2197158,2233327,2392477,2537799
3,Non-transport vehicles (private),Omni Buses,4905,4936,4937,4969,4980,4988,5013,5286,5895
4,Non-transport vehicles (private),Tractors,29515,30610,32114,34077,35830,36688,37741,38433,39241
5,Non-transport vehicles (private),Trailers,11148,11802,11987,13026,13915,14298,14693,14942,15217
6,Non-transport vehicles (private),Construction Moving Equipment,550,636,865,1580,2167,2739,3480,4474,5602
7,Non-transport vehicles (private),Private Service Vehicle,42,42,169,423,432,449,477,787,851
8,Non-transport vehicles (private),Other Vehicles,27040,29814,32468,34834,36577,39560,43099,45567,50376
,Total Non-transport(private) vehicles (A),,6857533,7395314,7973786,8496650,8853141,9227719,9670417,10311924,10938933
9(a),Transport Vehicle,Multi Axled/Articulated Vehicle,12283,14248,14807,15102,15160,15359,15692,16144,16597
9(b),Transport Vehicle,Trucks and Lorries,152857,157430,165020,171083,173658,178394,185299,192373,199381
9,Total Transport Vehicles,,165140,171678,179827,186185,188818,193753,200991,268020,215978
10(a),Light Goods vehicles,Four Wheeler,135436,143870,155523,166800,172625,180309,191101,203189,215933
10(b),Light Goods vehicles,Three Wheeler,50707,53255,57002,60622,62598,65343,68683,73241,79794
10,Total LGVs,,186143,197125,212525,227422,235223,245652,259784,276549,295846
11(a),Buses,Buses,101992,105596,112843,116877,117263,118285,120903,124807,130112
11,Total Buses,,101992,105596,112843,116877,117263,118285,120903,124807,130112
12(a),Taxies,Motor Cabs,157074,170381,184361,196416,197515,199152,208213,228736,250828
12(b),Taxies,Maxi Cabs,47362,49544,52127,54783,54890,55009,56226,59583,61754
12(c),Taxies,Others,18,18,18,130,130,130,130,130,130
12,Total Taxies,,204454,219943,236506,251329,252535,254291,264569,288449,312712
13,LMV Passenger,Three Seater(A/R),240069,252271,272118,289391,290650,291981,300661,326603,356665
14,LMV Passenger,Other Vehicles,19773,22347,39811,70508,72958,77211,84623,90696,100172
,Total LMV Passenger,,259842,274618,311929,359899,363608,369589,385284,417299,456837
,TOTAL TRANSPORT(B),,917571,968960,1053630,1141712,1157447,1181570,1231531,1315621,1411485
,TOTAL (A)+(B),,7775104,8364274,9027416,9638362,10010588,10409289,10901948,11627545,12350418
